 nT
YEAR DOY HR  1    2     3     4     5        6     7     8     9  10   11   12 
2024   9  8 51   6.3  -3.2   4.8  -1.5   88060.   7.2  347.  1.75 23     4  156
2024   9  9 51   7.8  -3.0   6.6   2.0   75018.   5.6  356.  1.44  7     6  103
2024   9 10 51   7.3  -4.8   4.1   2.5   91147.   5.7  345.  1.45  7    12   62
2024   9 11 51   7.2  -2.2   5.9   0.1  101984.   5.9  359.  1.58  7    13   46
2024   9 12 51   5.6  -1.7   4.4   0.0  137193.   6.7  361.  1.83  7    11   58
2024   9 13 51   6.4  -2.5   4.2  -0.5  125498.   6.9  358.  1.88  7     7  128
2024   9 14 51   6.5  -2.4   4.8   1.3  115619.   6.7  357.  1.72  7    10   78
2024   9 15 51   6.4  -1.6   3.8   1.4  121767.   6.7  368.  1.75 13     6  131
2024   9 16 51   6.2  -2.7   4.2   1.7  123891.   6.3  359.  1.57 13    -1  128
2024   9 17 51   5.1  -2.3   1.1   1.5  147015.   6.6  366.  1.69 13    -1   94
2024   9 18 51   5.5  -1.9  -2.9   3.0  126637.   6.4  372.  1.67  3     0   45
2024   9 19 51   6.1  -2.2   2.5   3.5  118090.   5.8  371.  1.50  3     0   44
2024   9 20 51   6.7  -2.9   4.9   2.5  101817.   5.4  362.  1.33  3    -1   27
2024   9 21 51   6.0  -3.3   3.2  -0.6  112430.   5.7  363.  1.41 10     1   19
2024   9 22 51   6.0  -1.4   5.0   0.6  105866.   5.8  379.  1.55 10     2   24
2024   9 23 51   5.9  -1.9   4.8   0.5  106048.   5.6  370.  1.44 10     1   44
2024  10  0 51   5.5  -4.0   3.1  -0.7   94874.   4.9  351.  1.15 13     0   42
2024  10  1 51   5.5  -1.7   3.8   1.4  103762.   5.3  373.  1.38 13     1   20
2024  10  2 51   5.9  -1.4   4.8   0.6   98387.   5.4  375.  1.41 13     4   18
2024  10  3 51   6.3  -1.0   5.5  -0.3   92383.   6.0  380.  1.60 17     8   22
2024  10  4 51   6.4  -0.1   6.0  -0.7   75783.   6.3  392.  1.77 17     9   29
2024  10  5 51   6.4  -1.3   4.5   0.8   80774.   6.7  390.  1.87 17     8  119
2024  10  6 51   6.4   0.2   3.0   4.8   81664.   7.9  397.  2.25 13    12   77
2024  10  7 51   7.0  -1.7   5.1   2.8   85488.   8.1  383.  2.17 13    14   29
2024  10  8 51   6.4  -1.0   4.2  -3.7  100883.   7.5  389.  2.07 13    11   44
2024  10  9 51   7.5  -2.8   5.1  -0.3   69240.   6.2  373.  1.58 20     2  152
2024  10 10 51   8.1  -3.9   5.2  -2.6   53372.   4.4  376.  1.14 20     2  149
2024  10 11 51   8.4  -4.1   4.5  -4.8   94819.   3.8  391.  1.09 20     2  329
2024  10 12 51   8.1  -1.8   5.9  -3.6  151008.   4.5  414.  1.38 23     3  588
2024  10 13 51   8.1  -1.6   7.2  -1.0  167090.   5.0  417.  1.57 23    -2  252
2024  10 14 51   8.3  -1.5   7.7  -1.0  160589.   5.1  420.  1.62 23    -2  137
2024  10 15 51   8.2  -2.0   6.8   2.6  171472.   5.4  413.  1.64 17    -5  136
2024  10 16 51   8.4  -2.2   7.0   1.4  138079.   5.1  410.  1.53 17    -7  164
2024  10 17 51   8.4  -2.7   6.6   3.1  144300.   4.7  404.  1.38 17   -11  112
2024  10 18 51   7.8  -2.8   5.5  -0.8  140715.   3.9  403.  1.15 20   -11  104
2024  10 19 51   7.1  -1.6   1.8   5.1  132647.   3.7  416.  1.19 20   -11  166
2024  10 20 51   7.9  -3.5   6.2  -2.4  141574.   4.0  400.  1.18 20    -9   76
2024  10 21 51   8.6  -4.0   7.2  -1.8  131539.   3.1  404.  0.93 17   -10  203
2024  10 22 51   8.6  -3.2   7.7  -1.9  134924.   2.9  406.  0.88 17    -7  179
2024  10 23 51   8.2  -3.5   7.3   0.0  148377.   3.1  409.  0.96 17    -6  136
2024  11  0 51   8.0  -3.5   7.0   0.2  142253.   3.2  407.  0.98  7    -3   71
2024  11  1 51   8.1  -3.5   7.0   0.9  162433.   2.9  419.  0.93  7    -3   40
2024  11  2 51   7.8  -3.6   6.7   0.9  212659.   2.5  428.  0.88  7    -3   27
2024  11  3 51   7.9  -3.9   6.7   0.7  208137.   2.2  422.  0.75 13    -3   40
2024  11  4 51   7.8  -4.2   6.3  -0.4  188666.   2.2  426.  0.78 13    -4   53
2024  11  5 51   7.6  -4.2   5.8   0.0  160075.   2.3  418.  0.76 13    -7  116
2024  11  6 51   7.7  -1.9   6.7  -2.5  167947.   2.5  434.  0.88 17    -9   98
2024  11  7 51   7.7  -2.6   7.1  -0.5  145537.   2.0  426.  0.69 17   -14  146
2024  11  8 51   7.3  -3.4   6.3  -0.4  116607.   1.9  421.  0.65 17   -16  174
2024  11  9 51   6.8  -3.3   5.7  -0.8  124795.   1.8  430.  0.64 13   -11  229
2024  11 10 51   6.1  -1.7   4.5  -2.4  198438.   1.8  470.  0.77 13    -8  146
2024  11 11 51   5.8  -2.7   4.8  -0.7  219526.   1.8  458.  0.72 13    -9  198
2024  11 12 51   5.7  -1.8   4.4  -1.5  201966.   1.9  469.  0.79 20    -7  273
2024  11 13 51   5.7  -2.0   4.6  -0.8  168516.   1.8  469.  0.75 20    -7  201
2024  11 14 51   5.2  -3.4   2.9   0.3  156331.   1.5  445.  0.56 20    -8  139
2024  11 15 51   5.0  -4.2   1.9   0.8  134564.   1.3  430.  0.48 13   -15   97
2024  11 16 51   4.9  -2.8   3.3   1.3  168399.   1.6  452.  0.62 13   -18   49
2024  11 17 51   4.8  -3.8   2.3  -0.3  152987.   1.5  440.  0.55 13   -16   58
2024  11 18 51   4.8  -2.1   2.3   2.4  153081.   1.5  460.  0.60  7   -14   48
2024  11 19 51   4.8  -1.5   3.7   0.6  160408.   1.7  466.  0.70  7   -13   38
2024  11 20 51   4.4  -1.6   2.7  -0.0  174322.   1.8  466.  0.73  7   -10   48
2024  11 21 51   4.1  -2.8   1.7   0.7  144199.   1.4  432.  0.49 17    -8  149
2024  11 22 51   3.9  -1.9   2.3   0.1  163267.   1.6  454.  0.62 17    -2   61
2024  11 23 51   4.1  -0.5   3.5   1.3  132534.   1.7  461.  0.67 17     2   37
2024  12  0 51   4.1  -0.5   3.7   0.6  143879.   1.8  462.  0.70  0     4   20
2024  12  1 51   3.9  -1.8   3.1   1.3  143653.   1.7  442.  0.62  0     5   17
2024  12  2 51   3.8  -1.7   2.2   1.0  112715.   1.6  436.  0.55  0     5   18
2024  12  3 51   3.9  -2.2   2.6   1.4  126283.   1.8  430.  0.61 13     6   20
2024  12  4 51   3.9  -1.7   3.2   1.1  122270.   1.9  435.  0.66 13     4   11
2024  12  5 51   3.6  -2.3   2.3   0.5  104697.   1.6  419.  0.52 13     1    8
2024  12  6 51   3.7  -2.0   2.7  -0.8  106185.   1.6  420.  0.51  3     1   11
2024  12  7 51   3.4   1.1   1.4  -1.5  118032.   2.0  447.  0.74  3    -1   35
2024  12  8 51   4.2   3.2   1.6  -1.7   81960.   1.6  463.  0.61  3    -3   56
2024  12  9 51   3.9   2.1   2.7  -1.4   99249.   1.9  451.  0.77 10    -4  104
2024  12 10 51   3.9   2.3   2.5  -1.2  103705.   2.0  448.  0.73 10    -5  196
2024  12 11 51   4.5   4.1   1.7  -0.3   49193.   1.5  456.  0.55 10    -7  218
2024  12 12 51   4.6   4.3   1.4  -0.4   44194.   1.5  450.  0.54 13    -6   77
2024  12 13 51   4.7   4.1   1.6  -1.1   52017.   1.9  441.  0.65 13    -4   74
2024  12 14 51   4.6   3.9   0.8  -2.0   68817.   2.1  436.  0.71 13    -4   79
2024  12 15 51   3.9   3.0   1.0  -1.3  104971.   2.1  433.  0.70 13    -8  184
2024  12 16 51   3.9   1.7   3.1   0.0   86132.   2.0  421.  0.64 13   -12  126
2024  12 17 51   3.2   1.2   2.5  -0.0  103619.   2.1  410.  0.65 13   -11   44
2024  12 18 51   3.0  -1.7   1.5  -0.4  106643.   1.7  375.  0.44  7   -11   34
2024  12 19 51   3.1  -1.4   2.3  -1.1  113411.   2.1  386.  0.58  7   -10   32
2024  12 20 51   3.4  -2.6   1.8  -0.3   70182.   1.5  361.  0.36  7    -8   46
2024  12 21 51   3.6  -0.6   2.8   0.9   94506.   2.4  395.  0.69 10    -4   27
2024  12 22 51   3.8   1.4   3.1   1.1   87988.   2.4  413.  0.74 10    -1   31
2024  12 23 51   4.0   1.4   3.1  -1.2   95587.   2.4  403.  0.71 10    -2   23
