time_tag,xray_flux_0.05_0.4nm,xray_flux_0.1_0.8nm
2026-06-30 15:54:00+00:00,6.977400346386275e-08,2.411039758953848e-06
2026-06-30 15:55:00+00:00,6.162849075508349e-08,2.373599500060664e-06
2026-06-30 15:56:00+00:00,5.95563847127778e-08,2.3604320631420705e-06
2026-06-30 15:57:00+00:00,7.47321422522873e-08,2.4546329768782016e-06
2026-06-30 15:58:00+00:00,7.619591002594461e-08,2.494908358130488e-06
2026-06-30 15:59:00+00:00,7.011797009681686e-08,2.477535645084572e-06
2026-06-30 16:00:00+00:00,6.602338942229835e-08,2.42863120547554e-06
2026-06-30 16:01:00+00:00,5.96643090489124e-08,2.366315356994164e-06
2026-06-30 16:02:00+00:00,5.605589237234199e-08,2.331979203518131e-06
2026-06-30 16:03:00+00:00,5.885041431952232e-08,2.335991894142353e-06
2026-06-30 16:04:00+00:00,5.8686939752305995e-08,2.344005906707025e-06
2026-06-30 16:05:00+00:00,5.89703077480408e-08,2.3681934635533253e-06
2026-06-30 16:06:00+00:00,6.061381441213598e-08,2.386060259595979e-06
2026-06-30 16:07:00+00:00,5.98412626118261e-08,2.387169843132142e-06
2026-06-30 16:08:00+00:00,5.6280349269854923e-08,2.3773798147885827e-06
2026-06-30 16:09:00+00:00,5.6233282919038174e-08,2.3585591861774446e-06
2026-06-30 16:10:00+00:00,5.652328738392499e-08,2.3387583496514708e-06
2026-06-30 16:11:00+00:00,5.1401233491787934e-08,2.3035158847051207e-06
2026-06-30 16:12:00+00:00,4.67423824090929e-08,2.270072172905202e-06
2026-06-30 16:13:00+00:00,4.3155520046411766e-08,2.2361489300237736e-06
2026-06-30 16:14:00+00:00,4.165604394756883e-08,2.2216763682081364e-06
2026-06-30 16:15:00+00:00,4.432139988352901e-08,2.216628899986972e-06
2026-06-30 16:16:00+00:00,4.3735955301826834e-08,2.207365241702064e-06
2026-06-30 16:17:00+00:00,4.367898043255991e-08,2.2176818674779497e-06
2026-06-30 16:18:00+00:00,5.1137675427526126e-08,2.276839040860068e-06
2026-06-30 16:19:00+00:00,5.91013247230876e-08,2.360485723329475e-06
2026-06-30 16:20:00+00:00,6.242428440828007e-08,2.410029765087529e-06
2026-06-30 16:21:00+00:00,6.266761687356849e-08,2.395167939539533e-06
2026-06-30 16:22:00+00:00,5.5996398629076793e-08,2.365511818425148e-06
2026-06-30 16:23:00+00:00,5.3924441800745626e-08,2.326289177290164e-06
2026-06-30 16:24:00+00:00,6.088750836852341e-08,2.392319629507256e-06
2026-06-30 16:25:00+00:00,1.0336287203926987e-07,2.76907940133242e-06
2026-06-30 16:26:00+00:00,1.63946964448769e-07,3.2222017125604907e-06
2026-06-30 16:27:00+00:00,1.6044840833728813e-07,3.168479679516168e-06
2026-06-30 16:28:00+00:00,1.3913333418713594e-07,3.0533662993548205e-06
2026-06-30 16:29:00+00:00,1.349408194073476e-07,3.0265111945482204e-06
2026-06-30 16:30:00+00:00,1.2813625005492213e-07,3.018049255842925e-06
2026-06-30 16:31:00+00:00,1.1133946742347689e-07,2.9400612220342737e-06
2026-06-30 16:32:00+00:00,1.075751256962576e-07,2.872832055800245e-06
2026-06-30 16:33:00+00:00,1.0170804642939403e-07,2.802540393531672e-06
2026-06-30 16:34:00+00:00,9.523645871922781e-08,2.7483649773785146e-06
