time_tag,satellite,flux,observed_flux,electron_correction,electron_contaminaton,energy
2026-06-26 08:40:00+00:00,18,1.1824303101093392e-06,1.2094557177988463e-06,2.7025395255009244e-08,False,0.1-0.8nm
2026-06-26 08:41:00+00:00,18,1.646010616696003e-08,4.229604755323635e-08,2.5835939609919478e-08,True,0.05-0.4nm
2026-06-26 08:41:00+00:00,18,1.1809642046500812e-06,1.2086829883628525e-06,2.771874463292079e-08,False,0.1-0.8nm
2026-06-26 08:42:00+00:00,18,1.4015368421382846e-08,4.140386167250654e-08,2.738849325112369e-08,True,0.05-0.4nm
2026-06-26 08:42:00+00:00,18,1.1751438933060854e-06,1.202662815558142e-06,2.7518979095475515e-08,False,0.1-0.8nm
2026-06-26 08:43:00+00:00,18,1.4344807119925918e-08,4.3069338317991424e-08,2.8724530309887086e-08,True,0.05-0.4nm
2026-06-26 08:43:00+00:00,18,1.1742293963834527e-06,1.2011557828373043e-06,2.6926407770133665e-08,False,0.1-0.8nm
2026-06-26 08:44:00+00:00,18,1.5251902851787236e-08,4.2392965582394027e-08,2.714106273060679e-08,True,0.05-0.4nm
2026-06-26 08:44:00+00:00,18,1.1723884654202266e-06,1.1991196515737101e-06,2.673126431318451e-08,False,0.1-0.8nm
2026-06-26 08:45:00+00:00,18,1.183716790364997e-06,1.2105873565815273e-06,2.6870585756455512e-08,False,0.1-0.8nm
2026-06-26 08:45:00+00:00,18,1.6643632250179508e-08,4.243379692070448e-08,2.5790162894168134e-08,True,0.05-0.4nm
2026-06-26 08:46:00+00:00,18,1.2194986993563361e-06,1.2469049579522107e-06,2.7406223068737745e-08,False,0.1-0.8nm
2026-06-26 08:46:00+00:00,18,1.9104122728208495e-08,4.6714458079577525e-08,2.761033535136903e-08,True,0.05-0.4nm
2026-06-26 08:47:00+00:00,18,2.0140824119607714e-08,4.782485873988662e-08,2.7684034620278908e-08,True,0.05-0.4nm
2026-06-26 08:47:00+00:00,18,1.2399450497468933e-06,1.2664140740525909e-06,2.646902785841121e-08,False,0.1-0.8nm
2026-06-26 08:48:00+00:00,18,2.075529614842253e-08,4.900971362076234e-08,2.825441747233981e-08,True,0.05-0.4nm
2026-06-26 08:48:00+00:00,18,1.2548529184641666e-06,1.2816994967579376e-06,2.684653743756371e-08,False,0.1-0.8nm
2026-06-26 08:49:00+00:00,18,2.0492784358339122e-08,4.8335021318735016e-08,2.7842236960395894e-08,True,0.05-0.4nm
2026-06-26 08:49:00+00:00,18,1.2586899629241088e-06,1.285672851736308e-06,2.6982863943203483e-08,False,0.1-0.8nm
2026-06-26 08:50:00+00:00,18,2.0710951176283743e-08,4.80179700446115e-08,2.730701886832776e-08,True,0.05-0.4nm
2026-06-26 08:50:00+00:00,18,1.24360224162956e-06,1.2707813539236668e-06,2.717909275418151e-08,False,0.1-0.8nm
2026-06-26 08:51:00+00:00,18,1.2357419336694875e-06,1.263102035409247e-06,2.7360131937825827e-08,False,0.1-0.8nm
2026-06-26 08:51:00+00:00,18,2.0606153228186486e-08,4.80974726713157e-08,2.7491319443129214e-08,True,0.05-0.4nm
2026-06-26 08:52:00+00:00,18,1.862544785069531e-08,4.5896495493025213e-08,2.7271047642329904e-08,True,0.05-0.4nm
2026-06-26 08:52:00+00:00,18,1.2272455478523625e-06,1.2548367749332101e-06,2.7591282147909624e-08,False,0.1-0.8nm
2026-06-26 08:53:00+00:00,18,1.8704476190123387e-08,4.647138851510135e-08,2.7766912324977966e-08,True,0.05-0.4nm
2026-06-26 08:53:00+00:00,18,1.2277115502001834e-06,1.2558889466163237e-06,2.8177449706845437e-08,False,0.1-0.8nm
2026-06-26 08:54:00+00:00,18,1.908393798544239e-08,4.8091948201545165e-08,2.9008010216102775e-08,True,0.05-0.4nm
2026-06-26 08:54:00+00:00,18,1.2289598316783668e-06,1.2573930234793806e-06,2.8433275289785342e-08,False,0.1-0.8nm
2026-06-26 08:55:00+00:00,18,1.2249611245351844e-06,1.2536161193565931e-06,2.8655010808620318e-08,False,0.1-0.8nm
2026-06-26 08:55:00+00:00,18,1.5725975188729535e-08,4.4424371736795365e-08,2.869839477170899e-08,True,0.05-0.4nm
2026-06-26 08:56:00+00:00,18,1.2110805300835636e-06,1.2394858686093357e-06,2.8405342078485774e-08,False,0.1-0.8nm
2026-06-26 08:56:00+00:00,18,1.7973571075913242e-08,4.6447247825653903e-08,2.8473676749740662e-08,True,0.05-0.4nm
2026-06-26 08:57:00+00:00,18,1.513842029510215e-08,4.470107128895506e-08,2.9562650993852913e-08,True,0.05-0.4nm
2026-06-26 08:57:00+00:00,18,1.1958805998801836e-06,1.224697484758508e-06,2.8816913300033775e-08,False,0.1-0.8nm
2026-06-26 08:58:00+00:00,18,1.536559857129305e-08,4.596590486016794e-08,3.060030806523173e-08,True,0.05-0.4nm
2026-06-26 08:58:00+00:00,18,1.188820760944509e-06,1.2176813015685184e-06,2.8860505096872657e-08,False,0.1-0.8nm
2026-06-26 08:59:00+00:00,18,1.4112423230017157e-08,4.582527779461998e-08,3.171285456460282e-08,True,0.05-0.4nm
2026-06-26 08:59:00+00:00,18,1.1809927400463494e-06,1.2102455002604984e-06,2.9252802846713166e-08,False,0.1-0.8nm
2026-06-26 09:00:00+00:00,18,1.392664916721742e-08,4.568656564174489e-08,3.175991736270589e-08,True,0.05-0.4nm
2026-06-26 09:00:00+00:00,18,1.1703660902639967e-06,1.1997140063613188e-06,2.9347853924832634e-08,False,0.1-0.8nm
2026-06-26 09:01:00+00:00,18,1.1571926279430045e-06,1.186644453810004e-06,2.9451877381347913e-08,False,0.1-0.8nm
2026-06-26 09:01:00+00:00,18,1.5665225561178886e-08,4.7052164831029586e-08,3.13869392698507e-08,True,0.05-0.4nm
2026-06-26 09:02:00+00:00,18,1.2621481637609122e-08,4.427652910976576e-08,3.165504836033506e-08,True,0.05-0.4nm
2026-06-26 09:02:00+00:00,18,1.1453013257778366e-06,1.1747790722438367e-06,2.9477785545850566e-08,False,0.1-0.8nm
2026-06-26 09:03:00+00:00,18,1.422238771198181e-08,4.5701334272507665e-08,3.1478947448704275e-08,True,0.05-0.4nm
2026-06-26 09:03:00+00:00,18,1.1444642495916924e-06,1.1739008414224372e-06,2.94365118946871e-08,False,0.1-0.8nm
2026-06-26 09:04:00+00:00,18,1.5708673473113777e-08,4.7046395224015214e-08,3.13377199745446e-08,True,0.05-0.4nm
2026-06-26 09:04:00+00:00,18,1.1444852816566708e-06,1.1737233762687538e-06,2.9238167442713348e-08,False,0.1-0.8nm
2026-06-26 09:05:00+00:00,18,1.426841578222593e-08,4.7442949124842926e-08,3.317452978990332e-08,True,0.05-0.4nm
2026-06-26 09:05:00+00:00,18,1.145045530392963e-06,1.1747522421501344e-06,2.970671708624195e-08,False,0.1-0.8nm
2026-06-26 09:06:00+00:00,18,1.1615798030106816e-06,1.1912794661839143e-06,2.969972889843575e-08,False,0.1-0.8nm
2026-06-26 09:06:00+00:00,18,1.603443777753455e-08,4.9562498105615305e-08,3.3528060328080755e-08,True,0.05-0.4nm
2026-06-26 09:07:00+00:00,18,1.9150860453009955e-08,5.039115080762713e-08,3.124029035461717e-08,True,0.05-0.4nm
2026-06-26 09:07:00+00:00,18,1.1906483905477216e-06,1.2202177686049254e-06,2.9569395820772115e-08,False,0.1-0.8nm
2026-06-26 09:08:00+00:00,18,2.3029413043218483e-08,5.419382986815435e-08,3.116441504857903e-08,True,0.05-0.4nm
2026-06-26 09:08:00+00:00,18,1.235755576090014e-06,1.2653697467612801e-06,2.9614152907697644e-08,False,0.1-0.8nm
2026-06-26 09:09:00+00:00,18,2.822888767184395e-08,5.954501247629196e-08,3.131612302809117e-08,True,0.05-0.4nm
2026-06-26 09:09:00+00:00,18,1.2952625638718018e-06,1.3246792605059454e-06,2.9416774793844525e-08,False,0.1-0.8nm
2026-06-26 09:10:00+00:00,18,3.21400150937734e-08,6.416156850264088e-08,3.2021553408867476e-08,False,0.05-0.4nm
2026-06-26 09:10:00+00:00,18,1.3605122148874216e-06,1.3904748357163044e-06,2.9962578196318645e-08,False,0.1-0.8nm
2026-06-26 09:11:00+00:00,18,1.44011210068129e-06,1.4697561709908769e-06,2.964413781114672e-08,False,0.1-0.8nm
2026-06-26 09:11:00+00:00,18,4.2728544258352485e-08,7.436276661110242e-08,3.163422235274993e-08,False,0.05-0.4nm
2026-06-26 09:12:00+00:00,18,4.799224484486331e-08,7.967214799009525e-08,3.167990314523195e-08,False,0.05-0.4nm
2026-06-26 09:12:00+00:00,18,1.5127906181078288e-06,1.5424124057972222e-06,2.9621711306049292e-08,False,0.1-0.8nm
2026-06-26 09:13:00+00:00,18,5.4228831203317895e-08,8.533844919611511e-08,3.110962154551089e-08,False,0.05-0.4nm
2026-06-26 09:13:00+00:00,18,1.5785726645844989e-06,1.6082658476079814e-06,2.9693177694412043e-08,False,0.1-0.8nm
2026-06-26 09:14:00+00:00,18,5.667519786811681e-08,8.795363015678959e-08,3.1278432288672775e-08,False,0.05-0.4nm
2026-06-26 09:14:00+00:00,18,1.6288903452732484e-06,1.6583750266363495e-06,2.9484690244885314e-08,False,0.1-0.8nm
2026-06-26 09:15:00+00:00,18,5.8474910247241496e-08,8.985255561810845e-08,3.137764537086696e-08,False,0.05-0.4nm
2026-06-26 09:15:00+00:00,18,1.6785659227025462e-06,1.7080024008464534e-06,2.943642485320197e-08,False,0.1-0.8nm
2026-06-26 09:16:00+00:00,18,1.7174993445223663e-06,1.74692502241669e-06,2.942564591990049e-08,False,0.1-0.8nm
2026-06-26 09:16:00+00:00,18,6.117679873796078e-08,9.260595845717035e-08,3.142916682463692e-08,False,0.05-0.4nm
2026-06-26 09:17:00+00:00,18,5.970321836912262e-08,9.074088325178309e-08,3.1037668435374144e-08,False,0.05-0.4nm
2026-06-26 09:17:00+00:00,18,1.7350470216115355e-06,1.7640818441577721e-06,2.9034810111738807e-08,False,0.1-0.8nm
2026-06-26 09:18:00+00:00,18,5.995879348574817e-08,9.089941244155852e-08,3.094061540309667e-08,False,0.05-0.4nm
2026-06-26 09:18:00+00:00,18,1.749170678522205e-06,1.7780965890779044e-06,2.8925908779342535e-08,False,0.1-0.8nm
2026-06-26 09:19:00+00:00,18,5.676970360468658e-08,8.705518439455773e-08,3.0285480789871144e-08,False,0.05-0.4nm
2026-06-26 09:19:00+00:00,18,1.7587701677257428e-06,1.788324198059854e-06,2.955407119031861e-08,False,0.1-0.8nm
2026-06-26 09:20:00+00:00,18,5.6475027321312155e-08,8.634447112854104e-08,2.986944380722889e-08,False,0.05-0.4nm
2026-06-26 09:20:00+00:00,18,1.7653092072578147e-06,1.794697027435177e-06,2.9387834388217016e-08,False,0.1-0.8nm
2026-06-26 09:21:00+00:00,18,5.503825661890005e-08,8.510987470344844e-08,3.007162163726207e-08,False,0.05-0.4nm
2026-06-26 09:21:00+00:00,18,1.7506018821222824e-06,1.7803259879656252e-06,2.972416623947538e-08,False,0.1-0.8nm
2026-06-26 09:22:00+00:00,18,5.147129655824756e-08,8.202032830695316e-08,3.05490317487056e-08,False,0.05-0.4nm
2026-06-26 09:22:00+00:00,18,1.712694029265549e-06,1.7425262512915651e-06,2.9832172288024594e-08,False,0.1-0.8nm
2026-06-26 09:23:00+00:00,18,4.8603993718643324e-08,7.92831258422666e-08,3.0679132123623276e-08,False,0.05-0.4nm
2026-06-26 09:23:00+00:00,18,1.683458435763896e-06,1.7130915921370615e-06,2.9633085318891972e-08,False,0.1-0.8nm
2026-06-26 09:24:00+00:00,18,4.486757276822573e-08,7.502325161112822e-08,3.015567884290249e-08,False,0.05-0.4nm
2026-06-26 09:24:00+00:00,18,1.655283767831861e-06,1.6850273141244543e-06,2.9743615570509974e-08,False,0.1-0.8nm
